epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,0.4251490746538679,0.8738384276978118,0.101371100939372,0.9692177990023171,0.001
2,0.1592424975770737,0.9525373887178634,0.06531876674657609,0.9815777970138673,0.001
3,0.12888795919246784,0.9617986040331975,0.054687136455493814,0.9839049045544143,0.001
4,0.11328619158975467,0.966354785261877,0.05778489148385134,0.9834142762043089,0.001
5,0.10182925123533532,0.9701215263333056,0.04284806549940415,0.9875209921931736,0.001
6,0.09246540128668192,0.9726950882456943,0.04280564682401654,0.9873568640419131,0.001
7,0.08455860525557474,0.9748489858505283,0.03889258231717248,0.9886716453556732,0.001
8,0.08061787565512692,0.9760077143481155,0.040183677064145315,0.9888340174032576,0.001
9,0.07649343111747954,0.9771380047996922,0.0329399981042918,0.9904114037590345,0.001
10,0.07267489612196423,0.9781665682981113,0.04046541795588466,0.9883105634229,0.001
11,0.06778283852559491,0.9795036439699643,0.04280445817857981,0.9880790279074593,0.001
12,0.06366663980258613,0.9810240231612447,0.03332238291006755,0.9903404841875021,0.001
13,0.06258192173588802,0.9812516087808886,0.026744858663090888,0.991232044515337,0.001
14,0.059505710073065855,0.982310804117439,0.036204950750938485,0.9897513789466404,0.001
15,0.057602079060836496,0.9824026996318329,0.0323019820038511,0.9897531350503165,0.001
16,0.055201005032129526,0.9832315467956985,0.035299964812623354,0.9906394270671232,0.001
17,0.05291733528025636,0.9835603718591397,0.03369228108277341,0.9906376709634471,0.0005
18,0.04328045936031345,0.986908586144854,0.027928022487762095,0.9919506961735312,0.0005
19,0.039809414963316206,0.9877002200942258,0.024778042422967547,0.9927420235069336,0.0005
20,0.03891854322057593,0.9879299995059905,0.029221592690138257,0.9918229058598749,0.0005
21,0.03778931727151567,0.9886603697790997,0.024770822086441917,0.9928733260279421,0.0005
22,0.03715658703028467,0.9883096880460105,0.025908352282806104,0.9922807085797283,0.0005
23,0.03647587905313131,0.9886111313337216,0.02358107181547695,0.9926435466161774,0.0005
24,0.03601584875684216,0.9891100971638656,0.027200809664272962,0.9922496390531521,0.0005
25,0.035937581797318235,0.9888080851152342,0.02439682650919847,0.9923791854704845,0.0005
26,0.0350602429317107,0.9892780441384474,0.02537641199618703,0.9927748491371857,0.0005
27,0.03330542708887961,0.9895614495798319,0.02394142305525411,0.9932344079607152,0.00025
28,0.03000429421350235,0.9906933650626093,0.023036003128445448,0.9933000592212193,0.00025
29,0.026950300230934213,0.9916491271632415,0.023133077635234145,0.9932672335909672,0.00025
30,0.026879104019627915,0.9917525603991597,0.022918957806027988,0.9933328848514715,0.00025
31,0.026649090049577048,0.9916124827096681,0.023525519261308827,0.9935626642632361,0.00025
32,0.026733443313160864,0.9917213598001081,0.02329680512604468,0.9933657104817236,0.00025
33,0.025149689681100183,0.9920375908717447,0.02263311214134598,0.9932344079607152,0.00025
34,0.0256215026308665,0.9917826234763708,0.021691831975330075,0.9938235132015769,0.00025
35,0.024191425038118136,0.9923270089285714,0.02190570977023419,0.9935954898934883,0.00025
36,0.024822372045101865,0.9921218487394958,0.027496792489521894,0.9921839877926479,0.00025
37,0.023993979709050737,0.9923040147370829,0.02485348453682636,0.9933328848514715,0.00025
38,0.024282878935884905,0.9922980021216407,0.022013720817582197,0.9939237461960093,0.000125
39,0.023178731817204284,0.9926798844537815,0.021833986000885732,0.9939237461960093,0.000125
40,0.022093514406059656,0.9927105162919128,0.021338464801802355,0.994153525607774,0.000125
41,0.0220825264637335,0.9931760877308844,0.02272716651772376,0.9932344079607152,0.000125
42,0.021363949308273608,0.9932171197686995,0.023020226042717695,0.9932672335909672,0.000125
43,0.021517979239403198,0.9930776108401281,0.022618665598614626,0.9936611411539925,0.000125
44,0.02075883311497345,0.9932461265756303,0.02142241072034886,0.9940878743472698,6.25e-05
45,0.01971118325101478,0.9935782017014726,0.021978337219877152,0.9937267924144967,6.25e-05
46,0.019558374814008277,0.9938408067434894,0.021863081605964098,0.9938909205657572,6.25e-05
47,0.019109854476620294,0.9939721092644979,0.022832332147645348,0.993825269305253,6.25e-05
48,0.01968806266722058,0.9939026391806722,0.022613432825769948,0.9937267924144967,3.125e-05
